AA;Esito;Appello
2021-2022;INS;I
2021-2022;RIFIUTATO;I
2021-2022;28;I
2021-2022;ASS;I
2021-2022;25;I
2021-2022;26;I
2021-2022;28;I
2021-2022;18;I
2021-2022;22;I
2021-2022;INS;I
2021-2022;INS;I
2021-2022;25;I
2021-2022;25;I
2021-2022;RIT;I
2021-2022;29;I
2021-2022;ASS;I
2021-2022;22;I
2021-2022;RIFIUTATO;I
2021-2022;RIT;I
2021-2022;INS;I
2021-2022;28;I
2021-2022;ASS;I
2021-2022;INS;I
2021-2022;INS;I
2021-2022;24;I
2021-2022;25;I
2021-2022;22;I
2021-2022;27;I
2021-2022;INS;I
2021-2022;INS;I
2021-2022;INS;I
2021-2022;27;I
2021-2022;28;I
2021-2022;25;I
2021-2022;INS;I
2021-2022;22;I
2021-2022;RIFIUTATO;I
2021-2022;24;I
2021-2022;26;I
2021-2022;26;I
2021-2022;29;I
2021-2022;RIFIUTATO;I
2021-2022;28;I
2021-2022;27;I
2021-2022;INS;I
2021-2022;30;I
2021-2022;26;I
2021-2022;INS;I
2021-2022;28;I
2021-2022;18;I
2021-2022;23;I
2021-2022;INS;I
2021-2022;21;I
2021-2022;INS;I
2021-2022;23;I
2021-2022;INS;I
2021-2022;26;I
2021-2022;INS;I
2021-2022;INS;I
2021-2022;INS;I
2021-2022;22;I
2021-2022;INS;I
2021-2022;INS;I
2021-2022;INS;I
2021-2022;INS;I
2021-2022;26;I
2021-2022;INS;I
2021-2022;30;I
2021-2022;INS;I
2021-2022;INS;I
2021-2022;22;I
2021-2022;26;I
2021-2022;23;I
2021-2022;INS;I
2021-2022;29;I
2021-2022;29;I
2021-2022;20;I
2021-2022;INS;I
2021-2022;18;I
2021-2022;18;I
2021-2022;RIT;I
2021-2022;INS;I
2021-2022;RIFIUTATO;I
2021-2022;INS;II
2021-2022;18;II
2021-2022;30;II
2021-2022;23;II
2021-2022;ASS;II
2021-2022;INS;II
2021-2022;RIFIUTATO;II
2021-2022;24;II
2021-2022;25;II
2021-2022;27;II
2021-2022;18;II
2021-2022;23;II
2021-2022;INS;II
2021-2022;INS;II
2021-2022;INS;II
2021-2022;20;II
2021-2022;INS;II
2021-2022;INS;II
2021-2022;ASS;II
2021-2022;INS;II
2021-2022;19;II
2021-2022;INS;II
2021-2022;ASS;II
2021-2022;INS;II
2021-2022;RIFIUTATO;II
2021-2022;INS;II
2021-2022;INS;II
2021-2022;INS;II
2021-2022;INS;II
2021-2022;INS;II
2021-2022;INS;II
2021-2022;19;II
2021-2022;26;II
2021-2022;20;II
2021-2022;25;II
2021-2022;INS;II
2021-2022;25;II
2021-2022;ASS;II
2021-2022;INS;II
2021-2022;24;II
2021-2022;18;II
2021-2022;INS;II
2021-2022;18;II
2021-2022;INS;II
2021-2022;INS;II
2021-2022;INS;II
2021-2022;INS;II
2021-2022;18;II
2021-2022;28;II
2021-2022;24;III
2021-2022;22;III
2021-2022;ASS;III
2021-2022;23;III
2021-2022;18;III
2021-2022;18;III
2021-2022;26;III
2021-2022;18;III
2021-2022;INS;III
2021-2022;20;III
2021-2022;25;III
2021-2022;22;III
2021-2022;INS;III
2021-2022;INS;III
2021-2022;INS;III
2021-2022;18;III
2021-2022;INS;III
2021-2022;20;III
2021-2022;RIFIUTATO;III
2021-2022;22;III
2021-2022;23;III
2021-2022;25;III
2021-2022;24;III
2021-2022;INS;III
2021-2022;INS;III
2021-2022;INS;III
2021-2022;18;III
2021-2022;ASS;III
2021-2022;23;III
2021-2022;ASS;III
2021-2022;23;III
2021-2022;24;III
2021-2022;INS;III
2021-2022;18;III
2021-2022;ASS;III
2021-2022;18;III
2021-2022;21;III
2021-2022;20;III
2021-2022;19;III
2021-2022;21;III
2021-2022;INS;IV
2021-2022;INS;IV
2021-2022;INS;IV
2021-2022;INS;IV
2021-2022;ASS;IV
2021-2022;INS;IV
2021-2022;INS;V
2021-2022;INS;V
2021-2022;INS;V
2021-2022;INS;V
2021-2022;ASS;V
2021-2022;ASS;V
2021-2022;25;V
2021-2022;27;V
2021-2022;ASS;VI
2021-2022;ASS;VI
2021-2022;ASS;VI
2021-2022;INS;VI
2021-2022;INS;VI
2021-2022;INS;VI
2021-2022;18;VI
2021-2022;21;VI
2021-2022;24;VI
2021-2022;18;VI
2022-2023;21;I
2022-2023;20;I
2022-2023;21;I
2022-2023;25;I
2022-2023;27;I
2022-2023;INS;I
2022-2023;26;I
2022-2023;RIT;I
2022-2023;ASS;I
2022-2023;25;I
2022-2023;21;I
2022-2023;21;I
2022-2023;INS;I
2022-2023;25;I
2022-2023;26;I
2022-2023;21;I
2022-2023;31;I
2022-2023;27;I
2022-2023;31;I
2022-2023;26;I
2022-2023;22;I
2022-2023;22;I
2022-2023;RIT;I
2022-2023;28;I
2022-2023;26;I
2022-2023;INS;I
2022-2023;23;I
2022-2023;19;I
2022-2023;20;I
2022-2023;26;I
2022-2023;31;I
2022-2023;23;I
2022-2023;INS;I
2022-2023;21;I
2022-2023;19;I
2022-2023;ASS;I
2022-2023;25;I
2022-2023;21;I
2022-2023;24;I
2022-2023;26;I
2022-2023;INS;I
2022-2023;26;I
2022-2023;INS;I
2022-2023;23;I
2022-2023;19;I
2022-2023;22;I
2022-2023;INS;I
2022-2023;20;I
2022-2023;ASS;I
2022-2023;INS;I
2022-2023;29;I
2022-2023;19;I
2022-2023;22;I
2022-2023;31;I
2022-2023;25;I
2022-2023;26;I
2022-2023;18;I
2022-2023;RIT;I
2022-2023;INS;I
2022-2023;RIT;I
2022-2023;ASS;I
2022-2023;INS;I
2022-2023;23;I
2022-2023;INS;I
2022-2023;18;I
2022-2023;23;I
2022-2023;23;I
2022-2023;INS;I
2022-2023;RIT;I
2022-2023;INS;I
2022-2023;25;I
2022-2023;INS;I
2022-2023;28;I
2022-2023;ASS;I
2022-2023;INS;I
2022-2023;21;I
2022-2023;INS;I
2022-2023;RIT;I
2022-2023;24;I
2022-2023;INS;I
2022-2023;24;I
2022-2023;RIT;I
2022-2023;INS;I
2022-2023;25;I
2022-2023;28;I
2022-2023;ASS;I
2022-2023;18;I
2022-2023;INS;I
2022-2023;22;I
2022-2023;24;I
2022-2023;19;I
2022-2023;22;I
2022-2023;24;I
2022-2023;INS;I
2022-2023;26;I
2022-2023;22;I
2022-2023;25;I
2022-2023;24;I
2022-2023;31;I
2022-2023;31;I
2022-2023;21;I
2022-2023;27;I
2022-2023;INS;I
2022-2023;INS;I
2022-2023;INS;I
2022-2023;25;I
2022-2023;26;I
2022-2023;18;I
2022-2023;28;I
2022-2023;RIT;I
2022-2023;INS;I
2022-2023;24;I
2022-2023;25;I
2022-2023;23;I
2022-2023;21;I
2022-2023;RIT;I
2022-2023;22;I
2022-2023;INS;I
2022-2023;26;I
2022-2023;INS;I
2022-2023;RIT;I
2022-2023;INS;I
2022-2023;INS;I
2022-2023;INS;I
2022-2023;29;I
2022-2023;25;I
2022-2023;ASS;I
2022-2023;26;I
2022-2023;RIT;I
